"GENE"	"MIN_FREQ"	"AVG_USAGE"
"1"	"TRBV10-1"	0.00363890832750175	0.00943006593924184
"2"	"TRBV10-2"	0.00098404009963406	0.00521247499006851
"3"	"TRBV10-3"	0.0053184044786564	0.017897524858107
"4"	"TRBV11-13"	0.000699790062981106	0.0139758196443148
"5"	"TRBV11-2"	0.00237928621413576	0.0202924482967317
"6"	"TRBV12-1"	0.000505447050740995	0.000989875345828216
"7"	"TRBV12-2"	0.000731528895391368	0.00221722396123644
"8"	"TRBV12-34"	0.0167020467016462	0.0472846008068277
"9"	"TRBV12-5"	0.00172443524745646	0.00619915306268316
"10"	"TRBV13"	0.00292611558156547	0.0078298294542656
"11"	"TRBV14"	0.00480534004333543	0.0116463041935176
"12"	"TRBV15"	0.00564600264765963	0.0145316208603736
"13"	"TRBV16"	0.000507257404146467	0.000804309798700919
"14"	"TRBV17"	Inf	1.63771947016098e-05
"15"	"TRBV18"	0.0113365990202939	0.0257614323147791
"16"	"TRBV19"	0.0105190550094844	0.0482050250845018
"17"	"TRBV2"	0.0132781514054147	0.0374892301933427
"18"	"TRBV20-1"	0.000839748075577327	0.00556685430379524
"19"	"TRBV21-1"	0.00264987570821083	0.0148307040514641
"20"	"TRBV23-1"	0.00215554405932057	0.00606096253875356
"21"	"TRBV24-1"	0.0118563033159127	0.0226845169184374
"22"	"TRBV25-1"	0.00585223116313094	0.0118563729573159
"23"	"TRBV26"	Inf	3.68076957298713e-06
"24"	"TRBV27"	0.0107777202966029	0.0418441466371894
"25"	"TRBV28"	0.00386832399945363	0.0458246896467209
"26"	"TRBV29-1"	0.00965371456166487	0.0283252444637464
"27"	"TRBV3-12"	0.00844973271253664	0.0352352655358952
"28"	"TRBV30"	0.00201429568380316	0.0312455230824673
"29"	"TRBV4-1"	0.0102603005294897	0.0264082616019363
"30"	"TRBV4-2"	0.00175486286262865	0.0134655766157133
"31"	"TRBV4-3"	0.000512904681793935	0.0149324547257546
"32"	"TRBV5-1"	0.0252629763752371	0.0641895858622112
"33"	"TRBV5-3"	0.000862217623728229	0.00293895992946463
"34"	"TRBV5-4"	0.00900325177804441	0.0229836810477381
"35"	"TRBV5-5"	0.00113613580164406	0.00719245872107239
"36"	"TRBV5-6"	0.00832136136460209	0.0208093188193419
"37"	"TRBV5-7"	0.000501161784135952	0.000548704057748199
"38"	"TRBV5-8"	0.00190016230553026	0.00587765720238148
"39"	"TRBV6-1"	0.0134756936018766	0.0236090500776071
"40"	"TRBV6-23"	0.00809486255069851	0.0255562430390499
"41"	"TRBV6-4"	0.00501588788854035	0.0119272215993275
"42"	"TRBV6-56"	0.0274582304162402	0.0437344259031411
"43"	"TRBV6-7"	0.000582054210412597	0.00155778480513344
"44"	"TRBV6-8"	0.000500331469598609	0.000731039439954217
"45"	"TRBV6-9"	0.000506143535325328	0.00200095476603605
"46"	"TRBV7-1"	Inf	0.000211306122138782
"47"	"TRBV7-2"	0.00663531423685336	0.0277901679386778
"48"	"TRBV7-3"	0.00344887049491292	0.0179279867134905
"49"	"TRBV7-4"	0.000559832050384885	0.00166748567305519
"50"	"TRBV7-6"	0.00433869839048286	0.0113402694898649
"51"	"TRBV7-7"	0.00216132595278187	0.00456486047410108
"52"	"TRBV7-8"	0.000845531703871251	0.0178605104323906
"53"	"TRBV7-9"	0.0164683566132092	0.043637807993304
"54"	"TRBV9"	0.0146700154125921	0.0384080910799925

